id,zip,Geographic Area Name,Households_Total,Households_Median,Households_Mean,families_mean,Married-couple_mean,Nonfamily_mean
8600000US17028,17028,ZCTA5 17028,1335,63640,70487,75529,N,41678
8600000US17029,17029,ZCTA5 17029,186,38879,39368,37319,N,N
8600000US17030,17030,ZCTA5 17030,341,37465,49390,61094,N,30627
8600000US17032,17032,ZCTA5 17032,3302,55119,66430,74619,N,37163
8600000US17033,17033,ZCTA5 17033,6797,56177,82943,110167,N,46227
8600000US17034,17034,ZCTA5 17034,1170,39697,46117,64720,N,28756
8600000US17035,17035,ZCTA5 17035,282,35909,42496,48043,N,25697
8600000US17036,17036,ZCTA5 17036,8581,76077,106529,126234,N,53296
8600000US17037,17037,ZCTA5 17037,341,56118,58769,62524,N,37973
8600000US17038,17038,ZCTA5 17038,3124,65464,70694,77625,N,44096
8600000US17039,17039,ZCTA5 17039,10,-,N,N,N,-
8600000US17040,17040,ZCTA5 17040,976,60078,64011,71713,N,41472
8600000US17041,17041,ZCTA5 17041,89,27099,37356,N,N,N
8600000US17042,17042,ZCTA5 17042,14566,57547,72330,84429,94153,43012
8600000US17043,17043,ZCTA5 17043,3117,37229,55453,70510,N,42093
8600000US17044,17044,ZCTA5 17044,9039,37140,48624,56645,N,33272
8600000US17045,17045,ZCTA5 17045,1274,54167,62264,72318,N,39238
8600000US17046,17046,ZCTA5 17046,11670,43663,55600,63517,76779,31870
8600000US17047,17047,ZCTA5 17047,924,43636,56228,65746,N,26847
8600000US17048,17048,ZCTA5 17048,1450,46762,57842,65523,N,31753
8600000US17049,17049,ZCTA5 17049,1084,45000,65953,69621,N,55443
8600000US17050,17050,ZCTA5 17050,13927,81959,101728,120098,N,60360
8600000US17051,17051,ZCTA5 17051,1799,43234,51465,60258,N,27612
8600000US17052,17052,ZCTA5 17052,615,45446,47202,52597,N,31731
8600000US17053,17053,ZCTA5 17053,2203,63159,69347,80028,N,47217
8600000US17055,17055,ZCTA5 17055,14773,62602,82834,101266,N,49599
8600000US17056,17056,ZCTA5 17056,32,45577,69322,82137,N,N
8600000US17057,17057,ZCTA5 17057,8705,53069,63590,76235,N,38477
8600000US17058,17058,ZCTA5 17058,701,38242,46659,56859,N,26628
8600000US17059,17059,ZCTA5 17059,3033,48682,55902,63109,N,32792
8600000US17060,17060,ZCTA5 17060,504,39500,47720,52239,N,31462
8600000US17061,17061,ZCTA5 17061,2950,53165,59020,70250,N,36916
8600000US17062,17062,ZCTA5 17062,1526,58365,63575,72069,N,37669
8600000US17063,17063,ZCTA5 17063,1177,50550,57649,63481,N,40338
8600000US17064,17064,ZCTA5 17064,208,72778,86976,106370,N,66822
8600000US17065,17065,ZCTA5 17065,1619,54076,67370,79539,N,32871
8600000US17066,17066,ZCTA5 17066,2345,32272,41026,51505,N,23238
8600000US17067,17067,ZCTA5 17067,5371,53860,68875,80092,N,35382
8600000US17068,17068,ZCTA5 17068,1678,58468,65772,70183,N,43219
8600000US17069,17069,ZCTA5 17069,56,42500,51341,71854,N,35956
8600000US17070,17070,ZCTA5 17070,6604,62909,73286,85835,N,47509
8600000US17071,17071,ZCTA5 17071,65,27344,32752,43871,N,27445
8600000US17072,17072,ZCTA5 17072,80,80694,95671,118273,N,N
8600000US17073,17073,ZCTA5 17073,1906,59235,63701,69781,N,38752
8600000US17074,17074,ZCTA5 17074,2962,51361,59971,70049,N,33895
8600000US17075,17075,ZCTA5 17075,57,20625,27346,28703,N,24835
8600000US17076,17076,ZCTA5 17076,11,-,N,N,N,-
8600000US17077,17077,ZCTA5 17077,5,-,N,N,N,-
8600000US17078,17078,ZCTA5 17078,8636,58929,75257,89292,N,46578
8600000US17080,17080,ZCTA5 17080,111,43750,49967,55479,N,39376
8600000US17081,17081,ZCTA5 17081,33,29554,31906,N,N,N
8600000US17082,17082,ZCTA5 17082,1310,46645,53784,62673,N,31415
8600000US17083,17083,ZCTA5 17083,27,40208,55137,55137,N,-
8600000US17084,17084,ZCTA5 17084,1714,45256,59666,69561,N,33013
8600000US17086,17086,ZCTA5 17086,818,47014,59209,68460,N,29572
8600000US17087,17087,ZCTA5 17087,1099,57101,70421,80535,N,41774
8600000US17088,17088,ZCTA5 17088,225,53594,84600,101898,N,27054
8600000US17090,17090,ZCTA5 17090,2074,57530,68328,71458,N,52786
8600000US17093,17093,ZCTA5 17093,270,82625,76391,78308,N,62621
8600000US17094,17094,ZCTA5 17094,1056,48250,55768,67232,N,25881
8600000US17097,17097,ZCTA5 17097,333,49904,57508,69117,N,31626
8600000US17098,17098,ZCTA5 17098,963,46483,55791,61238,N,40683
8600000US17099,17099,ZCTA5 17099,503,46736,48503,52002,N,24300
8600000US17101,17101,ZCTA5 17101,1403,20642,34877,61651,N,31026
8600000US17102,17102,ZCTA5 17102,4408,37889,47795,54791,N,43521
8600000US17103,17103,ZCTA5 17103,4316,34200,41688,44301,N,34758
8600000US17104,17104,ZCTA5 17104,8001,30726,39902,43894,N,30259
8600000US17109,17109,ZCTA5 17109,10303,50411,59127,69427,N,44249
8600000US17110,17110,ZCTA5 17110,10385,58440,75169,87350,N,53576
8600000US17111,17111,ZCTA5 17111,12065,66935,79777,90632,N,57888
8600000US17112,17112,ZCTA5 17112,13404,76593,93898,108058,N,61051
8600000US17113,17113,ZCTA5 17113,3896,45808,52750,56753,N,39973
8600000US17120,17120,ZCTA5 17120,0,-,-,-,-,-
8600000US17201,17201,ZCTA5 17201,10037,42823,52404,62551,N,35644
8600000US17202,17202,ZCTA5 17202,11848,60751,76362,88951,N,44617
8600000US17210,17210,ZCTA5 17210,81,100750,81241,88817,N,N
8600000US17211,17211,ZCTA5 17211,160,26667,44098,45949,N,33728
8600000US17212,17212,ZCTA5 17212,290,51905,58224,67400,N,25312
8600000US17213,17213,ZCTA5 17213,243,59375,60091,64787,N,41379
8600000US17214,17214,ZCTA5 17214,513,52112,64686,79516,N,41614
8600000US17215,17215,ZCTA5 17215,86,57500,47937,57665,N,11848
8600000US17217,17217,ZCTA5 17217,34,53500,44929,45806,N,43944
8600000US17219,17219,ZCTA5 17219,155,41458,41363,49885,N,16015
8600000US17220,17220,ZCTA5 17220,138,36765,56147,64904,N,24327
8600000US17221,17221,ZCTA5 17221,211,44926,53164,66289,N,26953
8600000US17222,17222,ZCTA5 17222,4232,48693,58561,67485,N,38078
8600000US17223,17223,ZCTA5 17223,133,42917,44583,56269,N,30790
8600000US17224,17224,ZCTA5 17224,894,49432,53568,59620,N,34417
8600000US17225,17225,ZCTA5 17225,7494,60278,73138,81904,N,47938
8600000US17228,17228,ZCTA5 17228,440,40167,49343,57452,N,19558
8600000US17229,17229,ZCTA5 17229,530,49688,54877,62173,N,34941
8600000US17233,17233,ZCTA5 17233,2135,48411,58717,64995,N,42452
8600000US17235,17235,ZCTA5 17235,256,52989,56000,65739,N,36058
8600000US17236,17236,ZCTA5 17236,3144,54808,66154,76784,N,37234
8600000US17237,17237,ZCTA5 17237,676,55446,56534,63365,N,35951
8600000US17238,17238,ZCTA5 17238,592,48594,57196,64616,N,32122
8600000US17239,17239,ZCTA5 17239,73,59219,62500,62551,N,62088
8600000US17240,17240,ZCTA5 17240,1133,56186,64507,72215,N,34451
8600000US17241,17241,ZCTA5 17241,4626,51034,60447,68060,N,36304
8600000US17243,17243,ZCTA5 17243,561,43558,51004,60874,N,31207
8600000US17244,17244,ZCTA5 17244,933,50292,63687,75846,N,32032
8600000US17246,17246,ZCTA5 17246,52,49000,66683,56529,N,73561
8600000US17247,17247,ZCTA5 17247,150,73191,57841,72558,72558,51534
8600000US17249,17249,ZCTA5 17249,124,33000,36281,45008,N,19098
8600000US17250,17250,ZCTA5 17250,70,49773,57859,N,N,N
8600000US17251,17251,ZCTA5 17251,51,56058,67543,76029,N,50571
8600000US17252,17252,ZCTA5 17252,1237,55805,64380,70132,N,40124
8600000US17253,17253,ZCTA5 17253,122,45833,51027,58798,N,36226
8600000US17254,17254,ZCTA5 17254,0,-,-,-,-,-
8600000US17255,17255,ZCTA5 17255,458,43182,59572,62965,N,27887
8600000US17256,17256,ZCTA5 17256,14,-,N,-,-,N
8600000US17257,17257,ZCTA5 17257,10326,48837,59873,72656,N,33355
8600000US17260,17260,ZCTA5 17260,465,38229,48542,53990,N,30712
8600000US17261,17261,ZCTA5 17261,0,-,-,-,-,-
8600000US17262,17262,ZCTA5 17262,514,34231,51119,53267,N,39396
8600000US17263,17263,ZCTA5 17263,287,63430,75244,92062,N,59989
8600000US17264,17264,ZCTA5 17264,935,42688,53960,64614,N,25160
8600000US17265,17265,ZCTA5 17265,198,58333,57953,61198,N,37931
8600000US17266,17266,ZCTA5 17266,235,57321,66334,76133,N,37388
8600000US17267,17267,ZCTA5 17267,1119,55417,60024,66385,N,44355
8600000US17268,17268,ZCTA5 17268,11181,52657,62059,71623,N,37018
8600000US17270,17270,ZCTA5 17270,72,63235,74511,77649,N,N
8600000US17271,17271,ZCTA5 17271,130,41667,60026,68807,N,22716
8600000US17272,17272,ZCTA5 17272,115,56042,51290,64546,N,N
8600000US17301,17301,ZCTA5 17301,1310,61607,65726,73555,N,33217
8600000US17302,17302,ZCTA5 17302,1044,59593,69520,79349,N,39835
8600000US17304,17304,ZCTA5 17304,1039,59525,72844,78895,N,50584
8600000US17306,17306,ZCTA5 17306,135,59531,63630,73872,N,35286
8600000US17307,17307,ZCTA5 17307,2217,55302,66209,70218,N,45940
8600000US17309,17309,ZCTA5 17309,704,40057,44450,49319,N,35727
8600000US17311,17311,ZCTA5 17311,119,49063,53567,65993,N,24919
8600000US17313,17313,ZCTA5 17313,4293,58089,65688,74691,N,41985
8600000US17314,17314,ZCTA5 17314,2177,60656,69312,77906,N,44740
8600000US17315,17315,ZCTA5 17315,10431,54981,66059,76619,N,36876
8600000US17316,17316,ZCTA5 17316,3057,64172,80635,86800,N,50558
8600000US17317,17317,ZCTA5 17317,333,55938,59476,63131,N,42025
8600000US17318,17318,ZCTA5 17318,122,56288,57441,71675,N,N
8600000US17319,17319,ZCTA5 17319,3931,71335,79834,84182,N,59714
8600000US17320,17320,ZCTA5 17320,2897,71354,85763,92998,N,56437
8600000US17321,17321,ZCTA5 17321,815,64330,73397,78402,N,53565
8600000US17322,17322,ZCTA5 17322,2198,65139,74717,80120,N,36984
8600000US17324,17324,ZCTA5 17324,1591,59384,64942,69229,N,46265
8600000US17325,17325,ZCTA5 17325,10549,59529,73945,88243,N,43067
8600000US17327,17327,ZCTA5 17327,3252,67791,79977,87715,N,55284
8600000US17329,17329,ZCTA5 17329,865,82474,90207,101792,N,35206
8600000US17331,17331,ZCTA5 17331,19741,59322,69748,81058,88550,40303
8600000US17339,17339,ZCTA5 17339,2533,73365,87663,98177,N,46249
8600000US17340,17340,ZCTA5 17340,4152,61568,72456,83689,N,39002
8600000US17343,17343,ZCTA5 17343,21,-,N,N,N,-
8600000US17344,17344,ZCTA5 17344,1361,48125,57673,69103,N,33543
8600000US17345,17345,ZCTA5 17345,2793,55438,61977,70565,N,37288
8600000US17347,17347,ZCTA5 17347,2336,61559,71188,75960,N,51269
8600000US17349,17349,ZCTA5 17349,2760,77350,89425,103049,N,43384
8600000US17350,17350,ZCTA5 17350,4893,52275,60565,71237,N,33478
8600000US17352,17352,ZCTA5 17352,470,68125,74808,84716,N,50079
8600000US17353,17353,ZCTA5 17353,1259,59923,72376,83415,N,33118
8600000US17355,17355,ZCTA5 17355,71,55893,64925,68563,N,54191
8600000US17356,17356,ZCTA5 17356,8583,57673,67628,75513,N,42188
8600000US17360,17360,ZCTA5 17360,2148,73317,83802,90083,N,48247
8600000US17361,17361,ZCTA5 17361,2227,74684,87329,111637,N,37746
8600000US17362,17362,ZCTA5 17362,5066,65031,74710,81924,N,41922
8600000US17363,17363,ZCTA5 17363,3628,74559,85544,93244,N,55720
8600000US17364,17364,ZCTA5 17364,1318,60179,65117,73879,N,32055
8600000US17365,17365,ZCTA5 17365,966,57656,66251,78498,N,28584
8600000US17366,17366,ZCTA5 17366,2209,53561,60505,65977,N,43180
8600000US17368,17368,ZCTA5 17368,2952,56845,67271,70031,N,57391
8600000US17370,17370,ZCTA5 17370,2122,60909,69791,79374,N,39359
8600000US17371,17371,ZCTA5 17371,115,65313,73581,91736,N,30361
8600000US17372,17372,ZCTA5 17372,1569,58689,70730,80850,N,36093
8600000US17401,17401,ZCTA5 17401,6194,27050,34429,35932,N,29041
8600000US17402,17402,ZCTA5 17402,13545,60900,78987,94626,N,40459
8600000US17403,17403,ZCTA5 17403,14929,47155,70257,84970,N,41085
8600000US17404,17404,ZCTA5 17404,14037,52079,65368,76478,N,41456
8600000US17406,17406,ZCTA5 17406,8899,60481,79237,89133,N,48970
8600000US17407,17407,ZCTA5 17407,759,81875,89126,96583,N,54252
8600000US17408,17408,ZCTA5 17408,9062,63355,72701,82054,N,47287
8600000US17501,17501,ZCTA5 17501,1905,49117,59802,66678,N,43359
8600000US17502,17502,ZCTA5 17502,1074,65250,83790,94742,N,53615
8600000US17505,17505,ZCTA5 17505,540,69821,88603,95360,N,37957
8600000US17507,17507,ZCTA5 17507,13,-,N,N,N,-
8600000US17508,17508,ZCTA5 17508,111,125087,106966,106966,N,-
8600000US17509,17509,ZCTA5 17509,1316,60833,75013,79830,N,45892
8600000US17512,17512,ZCTA5 17512,6732,48042,58634,67459,N,36035
8600000US17516,17516,ZCTA5 17516,1769,59531,73355,77767,N,57175
8600000US17517,17517,ZCTA5 17517,5570,66026,74831,82447,N,42622
8600000US17518,17518,ZCTA5 17518,402,43077,59192,64091,N,33628
8600000US17519,17519,ZCTA5 17519,2058,58947,73918,81691,N,42268
8600000US17520,17520,ZCTA5 17520,1636,68587,70843,72506,N,45926
8600000US17522,17522,ZCTA5 17522,12573,54669,68569,81208,N,38050
8600000US17527,17527,ZCTA5 17527,1867,60262,75393,80796,N,31930
8600000US17529,17529,ZCTA5 17529,1324,53913,63784,73748,N,23898
8600000US17532,17532,ZCTA5 17532,1188,55317,68603,81281,N,36052
8600000US17535,17535,ZCTA5 17535,580,58214,75082,78247,N,26556
8600000US17536,17536,ZCTA5 17536,931,59177,70323,76207,N,45498
8600000US17538,17538,ZCTA5 17538,2424,84722,103000,114009,N,51540
8600000US17540,17540,ZCTA5 17540,3160,54915,67530,76944,N,34146
